,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,time signature,genre
5jrdCoLpJSvHHorevXBATy,0.645,0.585,-6.122,0.0513,0.00314,0.0,0.165,0.353,131.931,6,1,4,pop
6uf5gDDIPNrZIW1kEdh3Xz,0.769,0.737,-7.822,0.419,0.275,0.0,0.259,0.696,95.04,8,0,4,pop
18AJRdgUoO9EYn11N7xzaT,0.733,0.65,-3.539,0.0315,0.0703,6.59e-05,0.0829,0.348,110.003,5,1,4,dance
3QdYxkiZu3ilLRHU6lXYvn,0.654,0.655,-7.388,0.106,0.0294,0.0,0.139,0.221,170.16,11,0,4,pop
0MWXj22tRelQoeo42W9RpP,0.72,0.445,-6.855,0.036,0.318,1.8e-05,0.121,0.55,96.051,11,1,4,pop
3CRDbSIZ4r5MsZ0YwxuEkn,0.734,0.637,-5.677,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,4,0,4,pop
76cy1WJvNGJTj78UqeA5zr,0.836,0.544,-5.975,0.0943,0.0403,0.0,0.0824,0.51,97.028,7,1,4,dance
337cTvWOx1uwO7brzGgKlw,0.503,0.616,-7.077,0.0432,0.00855,0.000198,0.0898,0.425,158.105,2,0,4,pop
4mdIgvRkq6F8Cfr0SsBlL0,0.472,0.908,-3.089,0.0751,0.0218,3.15e-06,0.172,0.221,127.992,10,1,4,pop
3khtCyuzc6LaAaxKVbARlK,0.766,0.658,-6.721,0.0449,0.136,0.0973,0.113,0.185,122.981,1,0,4,pop
38iU2jg98IZZEIJPrP7aWD,0.693,0.705,-5.747,0.0665,0.0228,0.0,0.202,0.45,131.951,8,1,4,pop
0WeM70hkHomP10xHUup39A,0.739,0.864,-2.173,0.0666,0.014,4.53e-06,0.659,0.64,109.896,5,1,4,pop
0U7q5lzVpfRZy87rstTtgZ,0.53,0.575,-8.799,0.0531,0.258,0.0,0.173,0.266,178.008,11,1,4,pop
0IkKz2J93C94Ei4BvDop7P,0.75,0.727,-4.21,0.142,0.0189,0.0,0.266,0.359,129.993,5,0,4,pop
5BTpeKg0dwxGmyELhIpkj8,0.761,0.729,-3.081,0.0415,0.126,0.0,0.0955,0.387,114.924,5,0,4,pop
5mMjkxGijQB4JZallYrkOW,0.426,0.584,-5.293,0.296,0.0383,0.0,0.188,0.272,193.437,1,1,4,pop
6xUarpmD3GIUTghTquGlfP,0.793,0.428,-11.65,0.0419,0.145,0.0,0.133,0.473,119.963,0,1,4,pop
6E11E0lT5Zy7yb6iT3y8DN,0.694,0.891,-2.94,0.0949,0.0562,0.0,0.561,0.563,97.939,9,1,4,pop
4vS8VaBwJJV5Ry7UFIQuoo,0.723,0.809,-3.081,0.0625,0.00346,0.00123,0.565,0.274,98.007,7,0,4,pop
0v6WtIs51ofVjEXEZ8fuil,0.651,0.649,-7.141,0.14,0.203,0.0,0.17,0.556,94.077,6,0,4,pop
2DbQpyXOWGsKW2R9zSvFq9,0.639,0.868,-5.613,0.0833,0.0159,0.255,0.249,0.123,128.096,6,0,4,pop
7LcfRTgAVTs5pQGEQgUEzN,0.722,0.758,-4.477,0.0471,0.0111,0.0,0.308,0.62,128.047,11,0,4,pop
6sy3LkhNFjJWlaeSMNwQ62,0.664,0.705,-4.972,0.0382,0.0654,0.0,0.115,0.477,122.017,1,0,4,pop
